Pathway ID,Pathway Name,Pathway Size,KEGG ID Count,Associated Genes,P-Value
mmu00983,       Drug metabolism - other enzymes - Mus musculus (house mouse),95,15,"15452, 23917, 23918, 229363, 22017, 22436, 16434, 13897, 104158, 13884, 234564, 75704, 12623, 244595, 382044, 234669, 234671, 234673, 72361, 436059, 22238, 22236, 94284, 94215, 394434, 394430, 394432, 394433, 72094, 552899, 71773, 394435, 394436, 100727, 231396, 100559, 112417, 243085, 613123, 110006, 72269, 72962, 99586, 64705, 103149, 22271, 76654, 80914, 22245, 68556, 57813, 21877, 22247, 66588, 20133, 382985, 20135, 54369, 18103, 56520, 79059, 171567, 18102, 110074, 17523, 17960, 17961, 17962, 13106, 14858, 14859, 14860, 14862, 14863, 14866, 14867, 14871, 14872, 14873, 14864, 66447, 14857, 56615, 68214, 68312, 14865, 211666, 100042295, 100042314, 103140, 75886, 14870, 14869, 225884, 100042625",3.024721213248121e-19
mmu00480,       Glutathione metabolism - Mus musculus (house mouse),73,13,"207182, 71522, 14598, 23887, 110175, 69065, 68044, 75475, 14629, 14630, 14854, 66988, 16790, 14858, 14859, 14860, 14862, 14863, 14866, 14867, 14871, 14872, 14873, 14864, 66447, 14857, 56615, 68214, 68312, 14865, 211666, 100042295, 100042314, 103140, 75886, 14870, 14869, 225884, 100042625, 76263, 54486, 14768, 68396, 66116, 100043497, 100504710, 93673, 93674, 69049, 14782, 15926, 269951, 110208, 14380, 14381, 66073, 625249, 14775, 14776, 14778, 14780, 67305, 75512, 69590, 11758, 320769, 18263, 332942, 20810, 20603, 20133, 382985, 20135",1.5150729856961422e-17
mmu05200,       Pathways in cancer - Mus musculus (house mouse),548,24,"13176, 12367, 12371, 72993, 12550, 12387, 12386, 216033, 12385, 12005, 12006, 11789, 23805, 56637, 21414, 21415, 21416, 16842, 11799, 17869, 12443, 22408, 22413, 22414, 22415, 22416, 22417, 22418, 22419, 22420, 22421, 22422, 20890, 22423, 216795, 22412, 22410, 22409, 22411, 93735, 14362, 14369, 57265, 14365, 14366, 14367, 14370, 14368, 93897, 14371, 16973, 16974, 13544, 13542, 13543, 14296, 27412, 212398, 14061, 11606, 14062, 14065, 14745, 53978, 65086, 78134, 381810, 67168, 11607, 11608, 14673, 14674, 69632, 213498, 16801, 269608, 11848, 67653, 19877, 19878, 20315, 12767, 14677, 14679, 14678, 19216, 19217, 19218, 19219, 14683, 432530, 210044, 104111, 104110, 224129, 11512, 11513, 11514, 11515, 18747, 18749, 14688, 14693, 14695, 14696, 14697, 14702, 14704, 14706, 14707, 102633809, 14708, 14709, 14700, 66066, 14701, 100503710, 64337, 14699, 14710, 12826, 12827, 12829, 94216, 12830, 12828, 16772, 16773, 16774, 16776, 16775, 16777, 16779, 16780, 226519, 16782, 23928, 14268, 16398, 16399, 16400, 16403, 16410, 16412, 14083, 18706, 18707, 74769, 18709, 18708, 18710, 19211, 18095, 11651, 11652, 23797, 12675, 16150, 16151, 18035, 18033, 18034, 19697, 19225, 18126, 12043, 11797, 11796, 11798, 329581, 12048, 22029, 22030, 22031, 22032, 22033, 22034, 56717, 58988, 72508, 12015, 56458, 17246, 22059, 12576, 12575, 110279, 11350, 12928, 12929, 12402, 20850, 20851, 18712, 18715, 16644, 385643, 13614, 12061, 12062, 13617, 13618, 14682, 14672, 18795, 18797, 18798, 18796, 18750, 18751, 18752, 16183, 16187, 16189, 16191, 16193, 16196, 16159, 16160, 16163, 16168, 83430, 13856, 15962, 15965, 15967, 15968, 15969, 15970, 15972, 15964, 242519, 230396, 404549, 15974, 242517, 230398, 15978, 16184, 16185, 16186, 16188, 16190, 12984, 12983, 16192, 16194, 16195, 16197, 16161, 16162, 16164, 16169, 209590, 13857, 15975, 15976, 15979, 15980, 78798, 11682, 19419, 19395, 240168, 233046, 16451, 16452, 16453, 20848, 20846, 20847, 20849, 20852, 22339, 22340, 18654, 22341, 14205, 21802, 13645, 13649, 13866, 18590, 18591, 18595, 18596, 16000, 16002, 16001, 17311, 16590, 14256, 14255, 15234, 17295, 14164, 14173, 14174, 14175, 14176, 14178, 14179, 14180, 14165, 80903, 14171, 14172, 80857, 67112, 14177, 14170, 56636, 64654, 14182, 14183, 14184, 14186, 14784, 20662, 20663, 15461, 16653, 18176, 11836, 109880, 110157, 26395, 26396, 26413, 26417, 16476, 14281, 23871, 83995, 83996, 17390, 17395, 12567, 73086, 19713, 76551, 27057, 18211, 59069, 108989, 21787, 56289, 54354, 58231, 13143, 13144, 69635, 18803, 234779, 13712, 12313, 80796, 12315, 12314, 70405, 494124, 75600, 108058, 12325, 12323, 12322, 19730, 56044, 64143, 19765, 12540, 19353, 19354, 170758, 18806, 18805, 26419, 26420, 26414, 18510, 19016, 20181, 20182, 20183, 218772, 13982, 13983, 17977, 17979, 20683, 19015, 16480, 235320, 19401, 12428, 12427, 18854, 12394, 12395, 20375, 12606, 12982, 12986, 12978, 12578, 13555, 242705, 13557, 17187, 22642, 12579, 12571, 12444, 12445, 54124, 66197, 624855, 102640775, 21402, 26965, 56438, 27401, 12566, 12447, 12448, 19645, 13197, 17873, 23882, 12028, 12018, 107986, 27015, 21752, 21748, 17342, 21803, 21808, 21809, 21812, 21813, 17126, 17127, 17128, 14013, 13016, 13017, 15182, 433759, 17350, 17685, 17686, 17688, 12190, 19361, 14103, 14102, 14082, 12370, 12122, 58801, 170770, 12125, 13063, 13067, 11783, 12369, 50868, 18024, 15368, 18104, 14858, 14859, 14860, 14862, 14863, 14866, 14867, 14871, 14872, 14873, 14864, 66447, 14857, 56615, 68214, 68312, 14865, 211666, 100042295, 100042314, 103140, 75886, 14870, 14869, 225884, 100042625, 50493, 232223, 26462, 22346, 67923, 102631956, 102637110, 67673, 71745, 112407, 112406, 112405, 14194, 15251, 13819, 11863, 11864, 12914, 328572, 20525, 16449, 16450, 13388, 13389, 54485, 18128, 18129, 18131, 18132, 15205, 15208, 56198, 15213, 15214, 14257, 20423, 19206, 319757, 16576, 24069, 14632, 14633, 14634, 12156, 12159, 15245, 19207, 11835, 15519, 15516, 22027",5.980814926119601e-17
mmu00240,       Pyrimidine metabolism - Mus musculus (house mouse),56,9,"69719, 56749, 22247, 66588, 22169, 54369, 18103, 56520, 79059, 171567, 18102, 633979, 12495, 215446, 72090, 76025, 67464, 100862375, 12499, 12497, 18605, 209558, 66401, 51797, 55936, 80914, 22245, 68556, 76952, 70881, 230718, 50773, 103850, 66763, 23959, 22271, 76654, 68106, 107569, 72269, 20133, 382985, 20135, 66422, 69692, 13178, 320685, 21915, 110074, 72962, 57813, 21877, 22171, 99586, 64705, 103149",4.4317011198682725e-12
mmu05208,       Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse),229,13,"57344, 14858, 14859, 14860, 14862, 14863, 14866, 14867, 14871, 14872, 14873, 14864, 66447, 14857, 56615, 68214, 68312, 14865, 211666, 100042295, 100042314, 103140, 75886, 17716, 17717, 17718, 17719, 17720, 17721, 17722, 17995, 72900, 78330, 54405, 17991, 66091, 17992, 407790, 68202, 100502727, 67130, 66416, 68375, 66108, 67273, 70316, 102634451, 69875, 66414, 67184, 102631912, 68198, 66495, 68194, 100042503, 100041273, 66046, 230075, 66916, 67264, 66218, 68342, 104130, 227197, 226646, 68349, 17993, 595136, 407785, 623286, 75406, 225887, 66377, 68197, 66945, 67680, 66052, 66925, 66694, 17711, 66445, 22273, 67003, 66576, 67530, 22272, 66152, 102633050, 66594, 17710, 17708, 17709, 12857, 84682, 12858, 102633230, 12859, 12861, 12862, 110323, 333182, 12864, 12866, 12865, 20463, 66142, 78174, 12867, 12868, 12869, 75483, 11946, 11947, 11949, 66043, 67126, 17705, 11950, 11951, 67942, 228033, 71679, 28080, 11957, 17706, 20656, 22333, 22334, 22335, 11739, 11740, 73333, 105675, 20655, 12359, 231583, 13521, 171429, 320718, 13077, 13106, 13107, 13076, 13078, 13849, 13850, 71932, 384214, 58810, 77337, 18104, 12408, 11622, 76113, 50490, 13057, 237038, 17969, 17970, 13645, 13649, 15234, 17295, 14784, 20662, 20663, 15461, 16653, 18176, 11836, 109880, 110157, 26395, 26396, 26413, 26417, 26408, 26398, 26400, 26419, 26420, 26414, 26416, 19094, 29857, 26415, 16476, 14281, 18709, 18708, 18710, 18706, 18707, 74769, 19353, 18607, 11651, 11652, 23797, 56484, 12015, 19246, 19211, 12675, 16150, 16151, 18035, 19697, 18033, 18753, 19271, 11431, 19247, 20779, 11350, 11352, 18760, 75292, 101540, 14083, 18806, 18805, 53859, 15251, 11863, 22339, 50868, 18024, 15368",5.2158943915654566e-11
mmu00770,       Pantothenate and CoA biosynthesis - Mus musculus (house mouse),21,5,"211347, 74450, 75735, 106564, 66812, 18605, 209558, 71743, 67618, 22361, 26464, 12035, 12036, 99586, 64705, 103149, 73748, 246277, 11669, 11671, 72535",3.697087951508781e-08
mmu00230,       Purine metabolism - Mus musculus (house mouse),134,8,"74167, 66358, 53893, 72157, 66681, 19139, 110639, 328099, 75456, 231327, 14450, 237823, 67054, 11564, 108147, 11821, 76952, 70881, 230718, 50773, 103850, 66763, 23959, 18950, 667034, 210808, 15452, 23917, 23918, 54369, 18103, 56520, 79059, 171567, 18102, 633979, 12495, 215446, 72090, 76025, 67464, 100862375, 12499, 12497, 75686, 73532, 16434, 22436, 66401, 229363, 66355, 105446, 14544, 14923, 20133, 382985, 20135, 69692, 27369, 13178, 68695, 229589, 432530, 210044, 104111, 104110, 224129, 11512, 11513, 11514, 11515, 271639, 60596, 234889, 239134, 54195, 14917, 14919, 14918, 245650, 73707, 18160, 230103, 18573, 18574, 18575, 207728, 54611, 18576, 242202, 225600, 18587, 110855, 18582, 18588, 78600, 18585, 23984, 241489, 11565, 11566, 11717, 109674, 229665, 11534, 11486, 11637, 11639, 11636, 229949, 78801, 68870, 102216272, 56248, 12496, 66566, 18605, 209558, 18577, 18578, 110385, 238871, 18583, 29863, 218461, 18584, 14198, 224794, 23972, 23971, 22262, 76974, 231903, 94041",2.0906035499284092e-07
mmu05133,       Pertussis - Mus musculus (house mouse),77,6,"16402, 16412, 16409, 16414, 16415, 12313, 80796, 12315, 12314, 70405, 494124, 75600, 11848, 67653, 12631, 12632, 12367, 12369, 12362, 66824, 216799, 16176, 12259, 12260, 12262, 50909, 667277, 317677, 50908, 12263, 12268, 625018, 12266, 15139, 12258, 12269, 22789, 17087, 21898, 12475, 117149, 17874, 266632, 16179, 22034, 18033, 19697, 225471, 106759, 54131, 26416, 19094, 29857, 26415, 26419, 26420, 26414, 26413, 26417, 14281, 16476, 16193, 16159, 16160, 83430, 21926, 16153, 16362, 15900, 20387, 14677, 14679, 14678, 20311, 107607, 16175, 18126",1.548177355911121e-06
mmu00590,       Arachidonic acid metabolism - Mus musculus (house mouse),88,6,"26971, 18778, 18781, 18784, 18782, 26970, 66350, 69836, 26565, 18780, 237625, 329502, 18783, 211429, 232889, 78390, 271844, 53357, 665270, 225845, 19224, 19225, 64292, 96979, 56351, 12408, 12409, 109857, 66469, 15446, 21391, 19215, 54486, 19223, 11689, 16993, 225791, 77219, 67103, 17001, 14598, 23887, 625249, 13106, 665095, 230459, 100066, 74519, 13109, 242546, 13110, 546837, 71519, 13118, 13117, 13119, 435802, 230639, 666168, 100040843, 277753, 11684, 11685, 23801, 11686, 11688, 13088, 13089, 13090, 13094, 243881, 13097, 13098, 13099, 226143, 13095, 226105, 13096, 72082, 72303, 69888, 107141, 404195, 433247, 100043108, 545288, 13850, 11687",3.395583404729118e-06
mmu04151,       PI3K-Akt signaling pathway - Mus musculus (house mouse),367,10,"13645, 21802, 13874, 11839, 14164, 14173, 14174, 14175, 14176, 14178, 14179, 14180, 14165, 80903, 14171, 14172, 80857, 67112, 14177, 14170, 56636, 64654, 18048, 18049, 12064, 18205, 78405, 16334, 16333, 16000, 16002, 18590, 18591, 54635, 71785, 12977, 17311, 14256, 22339, 22340, 18654, 22341, 14205, 15234, 11600, 11601, 11602, 13636, 13637, 13639, 13640, 13638, 14573, 18188, 11876, 19197, 13649, 13866, 13867, 13869, 14182, 14183, 14184, 14186, 18053, 18211, 18212, 16337, 16001, 18595, 18596, 12978, 16590, 14255, 14254, 14257, 16542, 17295, 21687, 13836, 19713, 14784, 20662, 20663, 15461, 16653, 18176, 110157, 26395, 26396, 26413, 26417, 16367, 24088, 21898, 19353, 20963, 12478, 83490, 14599, 19109, 19111, 28078, 18413, 16183, 16187, 16193, 16189, 16196, 15962, 15965, 15967, 15968, 15969, 15970, 15972, 15964, 242519, 230396, 404549, 15974, 242517, 230398, 15977, 13856, 12985, 14600, 19116, 18414, 16184, 16185, 16186, 16188, 16194, 16190, 16197, 15975, 15976, 13857, 12986, 16451, 16452, 16453, 12842, 12843, 12824, 12826, 12827, 12829, 94216, 12830, 12828, 12834, 12833, 245026, 12835, 68553, 665033, 12839, 12840, 12841, 16772, 16773, 16774, 16776, 16775, 16777, 16779, 16780, 226519, 16782, 23928, 12643, 19699, 21825, 12845, 21826, 21827, 21828, 14268, 20750, 22370, 21923, 21960, 329278, 81877, 22371, 15891, 109700, 16398, 16399, 16400, 16401, 16402, 16403, 16404, 241226, 104099, 213119, 319480, 16410, 16412, 16416, 192897, 16419, 16420, 16421, 320910, 14083, 18706, 18707, 74769, 18709, 18708, 18710, 14062, 12669, 243764, 14745, 53978, 65086, 78134, 381810, 67168, 14688, 14693, 14695, 14696, 14697, 14702, 14704, 14706, 14707, 102633809, 14708, 14709, 14700, 66066, 14701, 100503710, 64337, 14699, 14710, 30955, 320207, 104709, 18607, 20869, 105787, 108079, 74747, 64930, 22084, 19744, 56716, 56717, 74370, 13685, 13684, 26987, 218268, 58988, 72508, 75705, 20104, 216036, 18750, 320795, 109333, 263803, 20393, 27219, 170755, 11651, 11652, 23797, 14924, 50791, 19211, 75778, 19052, 19053, 51792, 73699, 52432, 72930, 269643, 71978, 100039815, 100039830, 59032, 235542, 19054, 225849, 26931, 21770, 26932, 226849, 15519, 15516, 22027, 12539, 74343, 98432, 244650, 21432, 27379, 27380, 27381, 17763, 18127, 12189, 56637, 14936, 232493, 18534, 74551, 14377, 14378, 68401, 17869, 12443, 12575, 12576, 12566, 12567, 12571, 12444, 12445, 12447, 12448, 56484, 19651, 14103, 12125, 22631, 54401, 22630, 100039786, 22627, 22629, 22628, 12015, 12048, 12043, 12371, 12912, 11909, 11911, 12913, 26427, 208647, 208677, 78284, 231991, 12915, 17210, 20181, 15370, 16151, 12675, 16150, 19697, 18033, 17863, 17246, 22059",8.15933883842191e-06
mmu05014,       Amyotrophic lateral sclerosis - Mus musculus (house mouse),375,10,"22059, 12362, 12122, 12043, 12048, 12028, 12015, 11783, 13063, 13067, 12371, 12367, 20655, 17716, 17717, 17718, 17719, 17720, 17721, 17722, 17995, 72900, 78330, 54405, 17991, 66091, 17992, 407790, 68202, 100502727, 67130, 66416, 68375, 66108, 67273, 70316, 102634451, 69875, 66414, 67184, 102631912, 68198, 66495, 68194, 100042503, 100041273, 66046, 230075, 66916, 67264, 66218, 68342, 104130, 227197, 226646, 68349, 17993, 595136, 407785, 623286, 75406, 225887, 66377, 68197, 66945, 67680, 66052, 66925, 66694, 17711, 66445, 22273, 67003, 66576, 67530, 22272, 66152, 102633050, 66594, 17710, 17708, 17709, 12857, 84682, 12858, 102633230, 12859, 12861, 12862, 110323, 333182, 12864, 12866, 12865, 20463, 66142, 78174, 12867, 12868, 12869, 75483, 11946, 11947, 11949, 66043, 67126, 17705, 11950, 11951, 67942, 228033, 71679, 28080, 11957, 17706, 22333, 53333, 641376, 215999, 68943, 50873, 71648, 18412, 66734, 67443, 56480, 21353, 218460, 237782, 73205, 17274, 67790, 19324, 56717, 22241, 29869, 68118, 51897, 12421, 228361, 56208, 75669, 100504663, 641340, 225326, 329015, 76559, 52639, 74781, 74018, 271457, 19353, 68942, 103199, 214585, 19057, 19055, 19056, 19058, 19059, 56085, 244178, 54609, 94232, 269523, 67819, 26443, 19166, 26441, 26444, 73677, 26442, 26440, 19167, 19175, 19177, 26446, 26445, 19173, 19170, 19172, 19181, 19179, 23996, 67089, 19182, 19184, 21762, 70247, 22123, 67151, 66997, 69077, 66413, 17463, 23997, 19185, 59029, 57296, 56436, 20422, 15185, 230908, 233908, 15382, 229279, 545091, 53379, 20239, 233871, 17184, 11727, 11731, 219033, 503844, 11730, 630952, 433702, 21681, 56009, 100043292, 100861880, 20383, 225027, 53319, 170722, 83454, 245610, 56488, 237082, 74412, 108989, 18141, 218210, 269966, 66679, 110379, 72124, 234865, 103468, 69736, 59015, 445007, 69912, 18226, 71844, 269113, 71805, 70699, 227699, 170762, 69482, 54563, 77595, 72787, 107939, 195236, 227720, 19069, 19386, 269254, 103172, 14828, 56491, 226641, 13198, 78943, 22433, 22030, 26408, 12364, 13666, 13665, 11911, 16440, 18391, 21926, 21937, 21938, 13163, 26397, 26399, 26416, 19094, 29857, 26415, 18125, 12460, 14775, 14776, 14778, 14780, 67305, 75512, 69590, 12359, 19132, 18039, 18040, 380684, 18643, 18645, 75477, 382562, 11465, 11461, 11750, 11744, 16572, 16573, 16574, 16593, 16594, 232943, 74764, 22145, 22144, 22142, 22146, 22147, 22143, 53857, 238463, 227613, 22151, 22152, 22153, 67951, 22154, 545486, 73710, 13191, 69654, 53598, 67665, 59288, 22428, 54130, 226977, 56444, 15114, 110084, 381917, 327954, 227058, 110082, 330355, 237806, 13411, 110083, 13417, 627872, 56087, 69926, 240960, 100101919, 75563, 68922, 432611, 105000, 54152, 20511, 18126, 14799, 14800, 14810, 14811, 14812, 14813, 14814, 211323, 100042150, 18183, 83961, 13869",9.841739304210483e-06
mmu00040,       Pentose and glucuronate interconversions - Mus musculus (house mouse),36,4,"110006, 16591, 22238, 22236, 94284, 94215, 394434, 394430, 394432, 394433, 72094, 552899, 71773, 394435, 394436, 100727, 231396, 100559, 112417, 243085, 613123, 22235, 216558, 58810, 68631, 66646, 102448, 11997, 14187, 11677, 67861, 67880, 20322, 71755, 75578, 75847",2.269194333265962e-05
mmu00260,"       Glycine, serine and threonine metabolism - Mus musculus (house mouse)",40,4,"71776, 20425, 108037, 11611, 76238, 235582, 18648, 56012, 12183, 236539, 107272, 100678, 26912, 58865, 11656, 11655, 17161, 109731, 11754, 237940, 104174, 434437, 13382, 68133, 13142, 268782, 67092, 14431, 218865, 110695, 12116, 74129, 19193, 192166, 14711, 12411, 107869, 231691, 257635, 27364",3.4707992401099725e-05
mmu04068,       FoxO signaling pathway - Mus musculus (house mouse),132,6,"21803, 21808, 21809, 21812, 21813, 17128, 17127, 20869, 105787, 108079, 19079, 108097, 19082, 241113, 108099, 18099, 27401, 17246, 73251, 12914, 328572, 93759, 252870, 20528, 26419, 26420, 26414, 58231, 16000, 16001, 16334, 16333, 16337, 16367, 384783, 16369, 16370, 18706, 18707, 74769, 18709, 18708, 18710, 18607, 12675, 16150, 19211, 11651, 11652, 23797, 20393, 27219, 170755, 56458, 56484, 54601, 329934, 14816, 26557, 26556, 26558, 216439, 27373, 16193, 16153, 20848, 13645, 13649, 14784, 20662, 20663, 15461, 16653, 18176, 109880, 110157, 11836, 26395, 26396, 26413, 26417, 26416, 19094, 29857, 26415, 12566, 15469, 15228, 268697, 434175, 12442, 209091, 12443, 12444, 12452, 12579, 12581, 12575, 12576, 19651, 18817, 20620, 12795, 20873, 13197, 17873, 23882, 14103, 12125, 22035, 12053, 12176, 67526, 57436, 56486, 93739, 12359, 20656, 11920, 18534, 74551, 14377, 14378, 68401, 16197, 16598, 13609, 13611, 19373, 19374, 66822, 67731",3.478646081542457e-05
mmu05022,       Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),481,10,"11820, 17762, 20617, 230908, 233908, 20655, 20239, 233871, 15194, 20238, 52335, 110616, 19122, 12669, 12671, 213788, 20743, 14816, 108071, 14682, 50873, 18795, 18797, 18798, 18796, 18803, 18750, 18751, 18752, 22065, 18391, 16438, 16439, 16440, 20190, 20191, 20192, 18610, 13385, 14810, 14811, 14812, 14813, 14814, 14799, 14800, 53623, 14802, 12287, 12288, 12289, 54652, 12292, 20907, 11441, 11937, 53313, 11938, 19164, 19165, 67819, 269523, 22186, 78294, 102631952, 22187, 22190, 26443, 19166, 26441, 26444, 73677, 26442, 26440, 19167, 19175, 19177, 26446, 26445, 19173, 19170, 19172, 19181, 19179, 23996, 67089, 19182, 19184, 21762, 70247, 22123, 67151, 66997, 69077, 66413, 17463, 23997, 19185, 59029, 57296, 56436, 20422, 22223, 22202, 22201, 74153, 22195, 100040961, 108167877, 100502680, 56791, 140499, 56228, 22213, 67128, 14763, 18951, 67847, 14828, 56491, 226641, 13198, 22433, 78943, 22030, 26408, 26400, 26419, 26420, 26414, 12364, 269881, 13666, 13665, 11911, 13162, 68943, 17716, 17717, 17718, 17719, 17720, 17721, 17722, 17995, 72900, 78330, 54405, 17991, 66091, 17992, 407790, 68202, 100502727, 67130, 66416, 68375, 66108, 67273, 70316, 102634451, 69875, 66414, 67184, 102631912, 68198, 66495, 68194, 100042503, 100041273, 66046, 230075, 66916, 67264, 66218, 68342, 104130, 227197, 226646, 68349, 17993, 595136, 407785, 623286, 75406, 225887, 66377, 68197, 66945, 67680, 66052, 66925, 66694, 17711, 66445, 22273, 67003, 66576, 67530, 22272, 66152, 102633050, 66594, 17710, 17708, 17709, 12857, 84682, 12858, 102633230, 12859, 12861, 12862, 110323, 333182, 12864, 12866, 12865, 20463, 66142, 78174, 12867, 12868, 12869, 75483, 11946, 11947, 11949, 66043, 67126, 17705, 11950, 11951, 67942, 228033, 71679, 28080, 11957, 17706, 12043, 22333, 53333, 641376, 215999, 12313, 80796, 12315, 12314, 70405, 494124, 75600, 19057, 19055, 19056, 19058, 19059, 12015, 14103, 14102, 14082, 12370, 12122, 12028, 12018, 66725, 64704, 68015, 22334, 22335, 11739, 11740, 73333, 105675, 13063, 13067, 11783, 12371, 12367, 215114, 73916, 15108, 67738, 57320, 12048, 67414, 170731, 71648, 18412, 66734, 67443, 56480, 21353, 218460, 237782, 73205, 17274, 67790, 19324, 56717, 22241, 29869, 68118, 51897, 12421, 228361, 56208, 75669, 100504663, 641340, 225326, 329015, 76559, 52639, 74781, 217695, 74018, 271457, 19353, 68942, 103199, 214585, 21926, 21937, 21938, 13163, 26397, 26399, 26416, 19094, 29857, 26415, 18125, 12460, 14775, 14776, 14778, 14780, 67305, 75512, 69590, 12359, 19132, 18039, 18040, 380684, 16572, 16573, 16574, 16593, 16594, 232943, 74764, 22145, 22144, 22142, 22146, 22147, 22143, 53857, 238463, 227613, 22151, 22152, 22153, 67951, 22154, 545486, 73710, 56637, 12995, 13000, 13001, 12064, 13191, 69654, 53598, 67665, 59288, 22428, 54130, 226977, 56444, 15114, 110084, 381917, 327954, 227058, 110082, 330355, 237806, 13411, 110083, 13417, 627872, 56087, 69926, 240960, 100101919, 75563, 68922, 432611, 105000, 54152, 108058, 12325, 12323, 12322, 12333, 12334, 12569, 12568, 12369, 13380, 56811, 234130, 22408, 22413, 22414, 22415, 22416, 22417, 22418, 22419, 22420, 22421, 22422, 20890, 22423, 216795, 22412, 22410, 22409, 22411, 93735, 14362, 14369, 57265, 14365, 14366, 14367, 14370, 14368, 93897, 14371, 16973, 16974, 27373, 13544, 13542, 13543, 14296, 27412, 212398, 12005, 12006, 11789, 23805, 12387, 93687, 11596, 15461, 16653, 18176, 11836, 109880, 110157, 26395, 26396, 26413, 26417, 237038, 13058, 50490, 19697, 18033, 18126, 19225, 16193, 16175, 16176, 12977",8.100465066382117e-05
mmu04976,       Bile secretion - Mus musculus (house mouse),101,5,"13849, 28250, 28248, 108096, 28254, 435927, 625716, 28253, 20493, 108114, 19879, 20517, 15357, 20778, 16835, 320024, 13122, 20186, 20181, 23957, 22238, 22236, 94284, 94215, 394434, 394430, 394432, 394433, 72094, 552899, 71773, 394435, 394436, 100727, 231396, 100559, 112417, 243085, 613123, 20859, 629203, 434121, 638251, 76971, 434264, 629219, 26459, 12012, 209186, 230161, 64008, 11833, 27409, 67470, 27413, 12780, 26357, 12349, 20535, 18671, 18669, 18670, 20544, 232156, 76408, 239273, 106407, 330962, 140492, 11928, 98660, 232975, 27222, 67821, 11931, 11932, 11933, 11936, 20287, 319229, 14683, 432530, 210044, 104111, 104110, 224129, 11512, 11513, 11514, 11515, 18747, 18749, 12638, 54403, 11829, 11826, 20494, 20537, 333669, 105243, 20525",0.00010722202485434461
