Ensembl_ID,KEGG_ID
ENSMUSG00000025196,mmu:93721
ENSMUSG00000037887,mmu:18218
ENSMUSG00000080115,mmu:100504608
ENSMUSG00000034855,mmu:15945
ENSMUSG00000022877,mmu:94175
ENSMUSG00000004356,mmu:70683
ENSMUSG00000020330,mmu:15366
ENSMUSG00000027490,mmu:13555
ENSMUSG00000020083,mmu:69894
ENSMUSG00000026981,mmu:16181
ENSMUSG00000022026,mmu:380924
ENSMUSG00000037440,mmu:22361
ENSMUSG00000071547,mmu:70021
ENSMUSG00000028937,mmu:70025
ENSMUSG00000051262,mmu:93674
ENSMUSG00000046840,Not found
ENSMUSG00000048572,mmu:226040
ENSMUSG00000097927,Not found
ENSMUSG00000023015,mmu:26934
ENSMUSG00000041939,mmu:17855
ENSMUSG00000019942,mmu:12534
ENSMUSG00000028356,mmu:11699
ENSMUSG00000032218,mmu:12442
ENSMUSG00000027306,mmu:108907
ENSMUSG00000028970,mmu:18669
ENSMUSG00000042029,mmu:76044
ENSMUSG00000000934,mmu:72960
ENSMUSG00000072949,mmu:26897
ENSMUSG00000070661,mmu:66825
ENSMUSG00000023505,mmu:14793
ENSMUSG00000032081,mmu:11814
ENSMUSG00000024521,mmu:58801
ENSMUSG00000042041,mmu:69861
ENSMUSG00000031016,mmu:22390
ENSMUSG00000026683,mmu:66977
ENSMUSG00000079262,mmu:28254
ENSMUSG00000031383,mmu:75590
ENSMUSG00000055137,mmu:192136
ENSMUSG00000026417,mmu:18703
ENSMUSG00000040258,mmu:104080
ENSMUSG00000027323,mmu:19361
ENSMUSG00000079553,mmu:100502766
ENSMUSG00000024799,mmu:73166
ENSMUSG00000034163,mmu:216345
ENSMUSG00000039824,mmu:216459
ENSMUSG00000027223,mmu:19099
ENSMUSG00000033308,mmu:99586
ENSMUSG00000053168,Not found
ENSMUSG00000040204,mmu:68026
ENSMUSG00000024330,mmu:12815
ENSMUSG00000037773,mmu:319513
ENSMUSG00000109161,Not found
ENSMUSG00000028678,mmu:73804
ENSMUSG00000026628,mmu:11910
ENSMUSG00000030609,mmu:68048
ENSMUSG00000033831,mmu:110135
ENSMUSG00000034311,mmu:16571
ENSMUSG00000001228,mmu:18140
ENSMUSG00000050373,mmu:101113
ENSMUSG00000034456,mmu:243537
ENSMUSG00000045273,mmu:26886
ENSMUSG00000025650,mmu:12836
ENSMUSG00000030781,mmu:246787
ENSMUSG00000046380,mmu:16469
ENSMUSG00000028457,mmu:320571
ENSMUSG00000003779,mmu:19348
ENSMUSG00000060985,mmu:214575
ENSMUSG00000049721,mmu:53897
ENSMUSG00000006218,mmu:277743
ENSMUSG00000045211,mmu:213484
ENSMUSG00000030677,mmu:110033
ENSMUSG00000030657,mmu:233781
ENSMUSG00000026189,mmu:111175
ENSMUSG00000025586,mmu:12877
ENSMUSG00000031967,mmu:114896
ENSMUSG00000022369,mmu:105837
ENSMUSG00000001403,mmu:68612
ENSMUSG00000000811,mmu:232223
ENSMUSG00000030872,mmu:74105
ENSMUSG00000030867,mmu:18817
ENSMUSG00000034394,mmu:16878
ENSMUSG00000001517,mmu:14235
ENSMUSG00000028989,mmu:654812
ENSMUSG00000026575,mmu:171567
ENSMUSG00000038567,mmu:13081
ENSMUSG00000070348,mmu:12443
ENSMUSG00000062944,mmu:100043133
ENSMUSG00000046179,mmu:108961
ENSMUSG00000024962,mmu:22340
ENSMUSG00000037548,mmu:15000
ENSMUSG00000031004,mmu:17345
ENSMUSG00000015804,mmu:66999
ENSMUSG00000033533,mmu:117147
ENSMUSG00000030801,mmu:67773
ENSMUSG00000035790,mmu:66994
ENSMUSG00000033068,mmu:12497
ENSMUSG00000000028,mmu:12544
ENSMUSG00000022551,mmu:66445
ENSMUSG00000026715,mmu:11905
ENSMUSG00000027715,mmu:12428
ENSMUSG00000022034,mmu:71988
ENSMUSG00000021932,mmu:67153
ENSMUSG00000013089,mmu:104156
ENSMUSG00000067235,mmu:15007
ENSMUSG00000004864,mmu:26415
ENSMUSG00000036880,mmu:52538
ENSMUSG00000022442,mmu:319953
ENSMUSG00000020649,mmu:20135
ENSMUSG00000030268,mmu:12035
ENSMUSG00000079015,mmu:20702
ENSMUSG00000026605,mmu:108000
ENSMUSG00000104887,Not found
ENSMUSG00000006522,mmu:16426
ENSMUSG00000033952,mmu:12316
ENSMUSG00000027342,mmu:18538
ENSMUSG00000040865,mmu:227195
ENSMUSG00000054630,mmu:22238
ENSMUSG00000017499,mmu:23834
ENSMUSG00000055632,mmu:665700
ENSMUSG00000104011,Not found
ENSMUSG00000010067,mmu:56289
ENSMUSG00000108084,mmu:666105
ENSMUSG00000041859,mmu:17215
ENSMUSG00000002409,mmu:13549
ENSMUSG00000039710,mmu:140918
ENSMUSG00000003051,mmu:13710
ENSMUSG00000044254,mmu:100102
ENSMUSG00000071226,mmu:330409
ENSMUSG00000034412,mmu:103724
ENSMUSG00000029414,mmu:208628
ENSMUSG00000029596,mmu:257635
ENSMUSG00000005681,mmu:11807
ENSMUSG00000015401,mmu:57394
ENSMUSG00000056394,mmu:16881
ENSMUSG00000031722,mmu:15439
ENSMUSG00000028496,mmu:70122
ENSMUSG00000038943,mmu:233406
ENSMUSG00000024391,mmu:55938
ENSMUSG00000073418,mmu:12268
ENSMUSG00000022214,mmu:28199
ENSMUSG00000028212,mmu:12448
ENSMUSG00000027326,mmu:76464
ENSMUSG00000040564,mmu:11812
ENSMUSG00000031879,mmu:68523
ENSMUSG00000001665,mmu:103140
ENSMUSG00000032080,mmu:11808
ENSMUSG00000036892,mmu:56189
ENSMUSG00000040600,mmu:99662
ENSMUSG00000066643,mmu:74682
ENSMUSG00000005980,mmu:13419
ENSMUSG00000050957,mmu:27356
ENSMUSG00000024847,mmu:11632
ENSMUSG00000025612,mmu:12013
ENSMUSG00000029001,mmu:230903
ENSMUSG00000028792,mmu:11637
ENSMUSG00000027641,mmu:19650
ENSMUSG00000053560,mmu:15936
ENSMUSG00000037544,mmu:218977
ENSMUSG00000064358,mmu:17710
ENSMUSG00000025395,mmu:19075
ENSMUSG00000057425,mmu:112417
ENSMUSG00000086119,Not found
ENSMUSG00000025473,mmu:11501
ENSMUSG00000027890,mmu:14865
ENSMUSG00000031828,mmu:234796
ENSMUSG00000005410,mmu:17218
ENSMUSG00000030881,mmu:76932
ENSMUSG00000050410,mmu:106795
ENSMUSG00000032400,mmu:68014
ENSMUSG00000040888,mmu:11692
ENSMUSG00000046295,mmu:234396
ENSMUSG00000041632,mmu:218506
ENSMUSG00000117485,Not found
ENSMUSG00000030701,mmu:27276
ENSMUSG00000037085,mmu:68260
ENSMUSG00000032348,mmu:14860
ENSMUSG00000028060,mmu:74200
ENSMUSG00000036875,mmu:327762
ENSMUSG00000025001,mmu:15201
ENSMUSG00000041431,mmu:268697
ENSMUSG00000023345,mmu:70235
ENSMUSG00000022075,mmu:246710
ENSMUSG00000029600,mmu:100764
ENSMUSG00000070713,Not found
ENSMUSG00000023034,mmu:15370
ENSMUSG00000036777,mmu:68743
ENSMUSG00000007080,mmu:18973
ENSMUSG00000086587,mmu:100038514
ENSMUSG00000026141,mmu:12823
ENSMUSG00000022562,mmu:75475
ENSMUSG00000021044,mmu:72113
ENSMUSG00000037993,mmu:64340
ENSMUSG00000110697,Not found
ENSMUSG00000034317,mmu:66949
ENSMUSG00000029752,mmu:27053
ENSMUSG00000063903,mmu:16612
ENSMUSG00000075702,mmu:114679
ENSMUSG00000029003,mmu:71890
ENSMUSG00000026669,mmu:70024
ENSMUSG00000022360,mmu:70472
ENSMUSG00000068328,mmu:11993
ENSMUSG00000063683,mmu:107146
ENSMUSG00000074802,mmu:237436
ENSMUSG00000069874,mmu:54396
ENSMUSG00000022580,mmu:14787
ENSMUSG00000027469,mmu:72119
ENSMUSG00000063388,Not found
ENSMUSG00000021250,mmu:14281
ENSMUSG00000029910,mmu:56150
ENSMUSG00000005087,mmu:12505
ENSMUSG00000002266,mmu:22776
ENSMUSG00000052684,mmu:16476
ENSMUSG00000017453,mmu:19193
ENSMUSG00000037709,mmu:58909
ENSMUSG00000020182,mmu:13195
ENSMUSG00000022881,mmu:106344
ENSMUSG00000046962,mmu:114565
ENSMUSG00000038042,mmu:218232
ENSMUSG00000099032,mmu:100039596
ENSMUSG00000086657,Not found
ENSMUSG00000056487,mmu:393082
ENSMUSG00000038418,mmu:13653
ENSMUSG00000022871,mmu:59083
ENSMUSG00000017716,mmu:11799
ENSMUSG00000086868,Not found
ENSMUSG00000022673,mmu:17217
ENSMUSG00000055612,mmu:66953
ENSMUSG00000061906,mmu:100559
ENSMUSG00000024791,mmu:67849
ENSMUSG00000040414,mmu:246696
ENSMUSG00000048327,mmu:70466
ENSMUSG00000049562,mmu:381201
ENSMUSG00000078922,mmu:21822
ENSMUSG00000026602,mmu:170484
ENSMUSG00000033770,mmu:12733
ENSMUSG00000037254,mmu:16425
ENSMUSG00000042406,mmu:11911
ENSMUSG00000026812,mmu:64930
ENSMUSG00000079495,mmu:100504710
ENSMUSG00000105402,Not found
ENSMUSG00000035455,mmu:60530
ENSMUSG00000049287,mmu:216792
ENSMUSG00000003546,mmu:74764
ENSMUSG00000027887,mmu:17306
ENSMUSG00000038526,mmu:23831
ENSMUSG00000048997,mmu:72522
ENSMUSG00000023259,mmu:171429
ENSMUSG00000064254,mmu:66071
ENSMUSG00000020038,mmu:12952
ENSMUSG00000066366,mmu:20700
ENSMUSG00000024177,mmu:56520
ENSMUSG00000024097,mmu:225027
ENSMUSG00000062510,mmu:381318
ENSMUSG00000032469,mmu:83703
ENSMUSG00000039910,mmu:17684
ENSMUSG00000035042,mmu:20304
ENSMUSG00000023938,mmu:224805
ENSMUSG00000074796,mmu:269356
ENSMUSG00000031431,mmu:14605
ENSMUSG00000054717,mmu:97165
ENSMUSG00000028068,mmu:404710
ENSMUSG00000039633,mmu:244421
ENSMUSG00000018574,mmu:11370
ENSMUSG00000038782,Not found
ENSMUSG00000029059,mmu:66469
ENSMUSG00000049744,mmu:76117
ENSMUSG00000085541,Not found
ENSMUSG00000046879,mmu:15944
ENSMUSG00000020326,mmu:12450
ENSMUSG00000024590,mmu:16906
ENSMUSG00000099669,Not found
ENSMUSG00000015488,mmu:381356
ENSMUSG00000110353,Not found
ENSMUSG00000028337,mmu:107684
ENSMUSG00000020044,mmu:21859
ENSMUSG00000110781,Not found
ENSMUSG00000049670,mmu:226123
ENSMUSG00000050107,mmu:14841
ENSMUSG00000032463,mmu:23873
ENSMUSG00000075010,Not found
ENSMUSG00000009772,mmu:74137
ENSMUSG00000037725,mmu:80986
ENSMUSG00000041609,mmu:75665
ENSMUSG00000024769,mmu:240505
ENSMUSG00000039196,mmu:18405
ENSMUSG00000032523,mmu:74770
ENSMUSG00000032554,mmu:22041
ENSMUSG00000022570,mmu:22122
ENSMUSG00000041406,mmu:381306
ENSMUSG00000045672,mmu:373864
ENSMUSG00000026475,mmu:19734
ENSMUSG00000070371,mmu:77613
ENSMUSG00000038641,mmu:208665
ENSMUSG00000040511,mmu:52118
ENSMUSG00000024990,mmu:19662
ENSMUSG00000060098,mmu:214572
ENSMUSG00000020564,mmu:380753
ENSMUSG00000036768,mmu:209737
ENSMUSG00000014776,mmu:78688
ENSMUSG00000000567,mmu:20682
ENSMUSG00000029446,mmu:100678
ENSMUSG00000022304,mmu:64705
ENSMUSG00000039183,mmu:26426
ENSMUSG00000032171,mmu:23988
ENSMUSG00000022978,mmu:66578
ENSMUSG00000027496,mmu:20878
ENSMUSG00000097354,Not found
ENSMUSG00000037857,mmu:68564
ENSMUSG00000024164,mmu:12266
ENSMUSG00000039620,mmu:319582
ENSMUSG00000030004,mmu:68396
ENSMUSG00000078853,mmu:16145
ENSMUSG00000022437,mmu:68653
ENSMUSG00000040562,mmu:14863
ENSMUSG00000027239,mmu:17242
ENSMUSG00000027959,mmu:72776
ENSMUSG00000024301,mmu:16580
ENSMUSG00000055430,mmu:58243
ENSMUSG00000015880,mmu:54392
ENSMUSG00000050714,mmu:320633
ENSMUSG00000074818,mmu:100503041
ENSMUSG00000058135,mmu:14862
ENSMUSG00000018581,mmu:13411
ENSMUSG00000036430,mmu:72726
ENSMUSG00000037509,mmu:226970
ENSMUSG00000015090,mmu:19215
ENSMUSG00000056458,mmu:26448
ENSMUSG00000041241,mmu:68350
ENSMUSG00000071708,mmu:20603
ENSMUSG00000027244,mmu:51897
ENSMUSG00000059027,Not found
ENSMUSG00000024742,mmu:14156
ENSMUSG00000019297,mmu:67842
ENSMUSG00000106838,Not found
ENSMUSG00000033031,mmu:224171
ENSMUSG00000048755,mmu:223722
ENSMUSG00000036944,mmu:213068
ENSMUSG00000049672,mmu:22666
ENSMUSG00000037847,mmu:225994
ENSMUSG00000041731,mmu:226041
ENSMUSG00000040339,mmu:329739
ENSMUSG00000010048,mmu:15983
ENSMUSG00000047797,mmu:14618
ENSMUSG00000037278,mmu:69071
ENSMUSG00000025279,mmu:13421
ENSMUSG00000037989,mmu:75607
ENSMUSG00000034570,mmu:170835
ENSMUSG00000056899,mmu:93757
ENSMUSG00000005981,mmu:68015
ENSMUSG00000052131,mmu:11997
ENSMUSG00000078681,mmu:68634
ENSMUSG00000007415,mmu:67210
ENSMUSG00000047821,mmu:94092
ENSMUSG00000078597,mmu:13118
ENSMUSG00000051413,mmu:54711
ENSMUSG00000035878,mmu:235386
ENSMUSG00000060802,mmu:12010
ENSMUSG00000072889,mmu:100978
ENSMUSG00000047534,mmu:217653
ENSMUSG00000034930,mmu:20166
ENSMUSG00000043091,mmu:22146
ENSMUSG00000020897,mmu:20877
ENSMUSG00000044847,mmu:72290
ENSMUSG00000068877,mmu:20342
ENSMUSG00000040767,mmu:78372
ENSMUSG00000032047,mmu:110446
ENSMUSG00000026520,mmu:69051
ENSMUSG00000053297,mmu:243373
ENSMUSG00000019966,mmu:17311
ENSMUSG00000026280,mmu:66615
ENSMUSG00000066900,mmu:71954
ENSMUSG00000042632,mmu:53357
ENSMUSG00000026730,mmu:19212
ENSMUSG00000018322,mmu:67145
ENSMUSG00000022387,mmu:223770
ENSMUSG00000027831,mmu:72789
ENSMUSG00000052914,mmu:13110
ENSMUSG00000021423,mmu:17084
ENSMUSG00000026798,mmu:227683
ENSMUSG00000027752,mmu:69639
ENSMUSG00000003438,mmu:66525
ENSMUSG00000056708,mmu:15939
ENSMUSG00000079550,mmu:227157
ENSMUSG00000013593,mmu:226646
ENSMUSG00000037313,mmu:21335
ENSMUSG00000018427,mmu:77864
ENSMUSG00000022557,mmu:12181
ENSMUSG00000022033,mmu:52033
ENSMUSG00000025317,mmu:12352
ENSMUSG00000020424,mmu:71962
ENSMUSG00000081344,Not found
ENSMUSG00000025575,mmu:76025
ENSMUSG00000038240,mmu:71365
ENSMUSG00000019578,mmu:66530
ENSMUSG00000033054,mmu:244879
ENSMUSG00000028798,mmu:54709
ENSMUSG00000036086,mmu:226409
ENSMUSG00000020836,mmu:216961
ENSMUSG00000022587,mmu:17069
ENSMUSG00000039660,mmu:227695
ENSMUSG00000025150,mmu:12409
ENSMUSG00000040183,mmu:140577
ENSMUSG00000028195,mmu:16007
ENSMUSG00000030359,mmu:11287
ENSMUSG00000106111,Not found
ENSMUSG00000000489,mmu:18591
ENSMUSG00000078607,mmu:69066
ENSMUSG00000026858,mmu:108958
ENSMUSG00000022893,mmu:11504
ENSMUSG00000043445,mmu:67078
ENSMUSG00000048707,mmu:97031
ENSMUSG00000034906,mmu:215387
ENSMUSG00000052738,mmu:56451
ENSMUSG00000072082,mmu:12449
ENSMUSG00000006574,mmu:20533
ENSMUSG00000018899,mmu:16362
ENSMUSG00000044934,mmu:238673
ENSMUSG00000087022,Not found
ENSMUSG00000022009,mmu:27275
ENSMUSG00000030763,mmu:30949
ENSMUSG00000027242,mmu:241627
ENSMUSG00000007613,mmu:21812
ENSMUSG00000045095,mmu:14924
ENSMUSG00000021065,mmu:53618
ENSMUSG00000024640,mmu:107272
ENSMUSG00000022021,mmu:56419
ENSMUSG00000037649,mmu:14998
ENSMUSG00000027649,mmu:66642
ENSMUSG00000097316,Not found
ENSMUSG00000029627,mmu:67235
ENSMUSG00000057933,mmu:14858
ENSMUSG00000039396,mmu:234258
ENSMUSG00000047044,mmu:225995
ENSMUSG00000038060,mmu:320256
ENSMUSG00000030086,mmu:66098
ENSMUSG00000024713,mmu:18552
ENSMUSG00000025277,mmu:66082
ENSMUSG00000024056,mmu:67052
ENSMUSG00000020549,mmu:68626
ENSMUSG00000021650,mmu:68927
ENSMUSG00000030269,mmu:97287
ENSMUSG00000021494,mmu:72935
ENSMUSG00000028270,mmu:14469
ENSMUSG00000025790,mmu:108116
ENSMUSG00000027371,mmu:68126
ENSMUSG00000018362,mmu:16647
ENSMUSG00000021209,mmu:74521
ENSMUSG00000047656,mmu:107328
ENSMUSG00000029687,mmu:14056
ENSMUSG00000025171,mmu:226122
ENSMUSG00000035399,mmu:66680
ENSMUSG00000110277,mmu:108168395
ENSMUSG00000054072,mmu:60440
ENSMUSG00000004473,mmu:20256
ENSMUSG00000073555,mmu:240327
ENSMUSG00000031029,mmu:66085
ENSMUSG00000051378,mmu:70218
ENSMUSG00000039953,mmu:65945
ENSMUSG00000029177,mmu:12615
ENSMUSG00000005716,mmu:19293
ENSMUSG00000026491,mmu:226747
ENSMUSG00000062248,mmu:66197
ENSMUSG00000035775,mmu:66809
ENSMUSG00000019977,mmu:56422
ENSMUSG00000025512,mmu:68038
ENSMUSG00000059406,mmu:432478
ENSMUSG00000030978,mmu:20133
ENSMUSG00000035478,mmu:17192
ENSMUSG00000020273,mmu:216578
ENSMUSG00000000296,mmu:21987
ENSMUSG00000019082,mmu:68267
ENSMUSG00000029060,mmu:76580
ENSMUSG00000043572,mmu:230577
ENSMUSG00000052229,mmu:574402
ENSMUSG00000034032,mmu:68925
ENSMUSG00000056498,mmu:320782
ENSMUSG00000024339,mmu:21355
ENSMUSG00000004270,mmu:14792
ENSMUSG00000019989,mmu:209558
ENSMUSG00000024525,mmu:114663
ENSMUSG00000002108,mmu:22259
ENSMUSG00000075704,mmu:26462
ENSMUSG00000002233,mmu:11853
ENSMUSG00000097318,Not found
ENSMUSG00000035726,mmu:114741
ENSMUSG00000033676,mmu:14402
ENSMUSG00000008855,mmu:15184
ENSMUSG00000068227,mmu:16185
ENSMUSG00000053898,mmu:51798
ENSMUSG00000030030,mmu:71837
ENSMUSG00000051517,mmu:230098
ENSMUSG00000026873,mmu:74016
ENSMUSG00000024989,mmu:74107
ENSMUSG00000037669,mmu:68832
ENSMUSG00000098318,Not found
ENSMUSG00000022951,mmu:54720
ENSMUSG00000044950,mmu:70802
ENSMUSG00000031930,mmu:66894
ENSMUSG00000025059,mmu:14933
ENSMUSG00000032532,mmu:12424
